Name,UnitPrice,Revenus
Take This Bottle,0.99,13.86
"Tapa Aqui, Descobre Ali",0.99,13.86
Tears In Heaven,0.99,13.86
Tempos Modernos,0.99,13.86
Territorial Pissings,0.99,13.86
The Assassin,0.99,13.86
The Battle Rages On,0.99,13.86
The Begining... At Last,0.99,13.86
The Beginning...At Last,0.99,13.86
The Crystal Ship,0.99,13.86
The Cut Runs Deep,0.99,13.86
The Fugitive,0.99,13.86
The Great Gig In The Sky,0.99,13.86
The Ides Of March,0.99,13.86
The Last Remaining Light,0.99,13.86
The Meaning Of The Blues,0.99,13.86
The Pan Piper,0.99,13.86
The Prophecy,0.99,13.86
The Right Thing,0.99,13.86
The Wind Cries Mary,0.99,13.86
Thief In The Night,0.99,13.86
This Is Radio Clash,0.99,13.86
This Is The Place,0.99,13.86
Time,0.99,13.86
Time Is On My Side,0.99,13.86
Tomorrow's Dream,0.99,13.86
Tradição,0.99,13.86
Travelling Riverside Blues,0.99,13.86
TriboTchan,0.99,13.86
Três Lados,0.99,13.86
Tudo Bem,0.99,13.86
Two Steps Behind [Acoustic Version],0.99,13.86
Um Dia Qualquer,0.99,13.86
Um Homem Chamado Alfredo,0.99,13.86
Um Indio,0.99,13.86
Um Jantar Pra Dois,0.99,13.86
Um Love,0.99,13.86
Under My Thumb,0.99,13.86
União Da Ilha,0.99,13.86
Vai Valer,0.99,13.86
Viradouro,0.99,13.86
Voce Inteira,0.99,13.86
Você,0.99,13.86
Vou Pra Ai,0.99,13.86
Vôo Sobre o Horizonte,0.99,13.86
W.M.A.,0.99,13.86
Walking After You,0.99,13.86
Walking Wounded,0.99,13.86
Wanted Dread And Alive,0.99,13.86
War (The Process),0.99,13.86
Waterhole (Expresso Bongo),0.99,13.86
What Now My Love,0.99,13.86
When I Had Your Love,0.99,13.86
When Love & Hate Collide,0.99,13.86
White Feather,0.99,13.86
White Riot,0.99,13.86
Whole Lotta Love (Medley),0.99,13.86
Why Go,0.99,13.86
Wild Hearted Son,0.99,13.86
Wild Side,0.99,13.86
Wildest Dreams,0.99,13.86
X-9 2001,0.99,13.86
Yesterday To Tomorrow,0.99,13.86
You Can't Do it Right (With the One You Love),0.99,13.86
You Fool No One,0.99,13.86
You Keep On Moving,0.99,13.86
You Oughta Know,0.99,13.86
You Shook Me(2),0.99,13.86
You've Been A Long Time Coming,0.99,13.86
Your Blue Room,0.99,13.86
Your Time Has Come,0.99,13.86
Zambação,0.99,13.86
Zeca Violeiro,0.99,13.86
Zé Trindade,0.99,13.86
Às Vezes,0.99,13.86
Água E Fogo,0.99,13.86
Água de Beber,0.99,13.86
É Fogo,0.99,13.86
O Pulso,0.99,12.89
Basket Case,0.99,12.87
Binky The Doormat,0.99,12.87
Caffeine,0.99,12.87
Calling Dr. Love,0.99,12.87
Commotion,0.99,12.87
Don't Look Now,0.99,12.87
Fall On Me,0.99,12.87
I'm Gonna Crawl,0.99,12.87
Inject The Venom,0.99,12.87
Living Loving Maid (She's Just A Woman),0.99,12.87
Lonely Stranger,0.99,12.87
Mel,0.99,12.87
Meu Caro Amigo,0.99,12.87
"Music for the Funeral of Queen Mary: VI. ""Thou Knowest, Lord, the Secrets of Our Hearts""",0.99,12.87
Não Quero Dinheiro,0.99,12.87
Rock & Roll,0.99,12.87
Saber Amar,0.99,12.87
That's The Way,0.99,12.87
The Aftermath,0.99,12.87
The Clairvoyant,0.99,12.87
The Garden,0.99,12.87
The House Jack Built,0.99,12.87
The Star Spangled Banner,0.99,12.87
The Unforgiven II,0.99,12.87
Travis Walk,0.99,12.87
Two Hearts Beat As One,0.99,12.87
Violent Pornography,0.99,12.87
Whatsername,0.99,12.87
"Battlestar Galactica, Pt. 1",1.99,11.94
"Lost Planet of the Gods, Pt. 2",1.99,11.94
Safety Training,1.99,11.94
"The Gun On Ice Planet Zero, Pt. 2",1.99,11.94
The Job,1.99,11.94
"The Living Legend, Pt. 2",1.99,11.94
Caras Como Eu,0.99,10.91
"Exodus, Pt. 2",1.99,10.91
Formigueiro,0.99,10.91
God,0.99,10.91
"Greetings from Earth, Pt. 1",1.99,10.91
Homem Primata,0.99,10.91
Iron Man/Children of the Grave,0.99,10.91
Still Loving You,0.99,10.91
The Passage,1.99,10.91
Balls to the Wall,0.99,10.89
Believe,0.99,10.89
Bem Devagar,0.99,10.89
Compadre,0.99,10.89
End Of Romanticism,0.99,10.89
Give Me Novacaine,0.99,10.89
How Many More Times,0.99,10.89
In The Evening,0.99,10.89
J Squared,0.99,10.89
Leper Messiah,0.99,10.89
Manguetown,0.99,10.89
Mensagen De Amor (2000),0.99,10.89
Moonchild,0.99,10.89
Morena De Angola,0.99,10.89
No Quarter,0.99,10.89
Perfect Crime,0.99,10.89
Phantom Lord,0.99,10.89
Pride (In The Name Of Love),0.99,10.89
Promises,0.99,10.89
Romance Ideal,0.99,10.89
She Loves Me Not,0.99,10.89
Shock Me,0.99,10.89
So Central Rain,0.99,10.89
Soldier Side - Intro,0.99,10.89
"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",0.99,10.89
Sunday Bloody Sunday,0.99,10.89
Susie Q,0.99,10.89
The Prisoner,0.99,10.89
Undertow,0.99,10.89
Chapa o Coco,0.99,9.91
"Danny Boy, Danny Boy",0.99,9.91
Funk de Bamba,0.99,9.91
One For The Road,0.99,9.91
Put Your Head Out,0.99,9.91
The Beginning of the End,1.99,9.91
The Zoo,0.99,9.91
Todo o Carnaval tem seu Fim,0.99,9.91
All I Want Is You,0.99,9.9
Before You Accuse Me,0.99,9.9
Desire,0.99,9.9
Gimme Some Truth,0.99,9.9
Layla,0.99,9.9
Let Me Love You Baby,0.99,9.9
Master Of Puppets,0.99,9.9
Cold Turkey,0.99,8.94
"Greetings from Earth, Pt. 2",1.99,8.94
Instant Karma,0.99,8.94
"Oh, My Love",0.99,8.94
The Hand of God,1.99,8.94
"War of the Gods, Pt. 2",1.99,8.94
(White Man) In Hammersmith Palais,0.99,8.91
...And Justice For All,0.99,8.91
14 Years,0.99,8.91
A Noite Do Meu Bem,0.99,8.91
A Sua,0.99,8.91
Achilles Last Stand,0.99,8.91
Admirável Gado Novo,0.99,8.91
After Midnight,0.99,8.91
Ain't Talkin' 'bout Love,0.99,8.91
All I Really Want,0.99,8.91
American Idiot,0.99,8.91
Angela,0.99,8.91
Anything Goes,0.99,8.91
Apesar De Você,0.99,8.91
Are You Gonna Go My Way,0.99,8.91
Avisa,0.99,8.91
B.Y.O.B.,0.99,8.91
Bankrobber,0.99,8.91
Be Aggressive,0.99,8.91
Beach Sequence,0.99,8.91
Best Thing,0.99,8.91
Big Machine,0.99,8.91
Black Capricorn Day,0.99,8.91
Black Diamond,0.99,8.91
Blackened,0.99,8.91
Bleed The Freak,0.99,8.91
Blind Man,0.99,8.91
Blow Your Mind,0.99,8.91
Breathe,0.99,8.91
Brighter Than a Thousand Suns,0.99,8.91
Bring Me Your Cup,0.99,8.91
Burn Away,0.99,8.91
By The Way,0.99,8.91
Bê-a-Bá,0.99,8.91
Can You See Me,0.99,8.91
Can't Keep,0.99,8.91
Can't Stop,0.99,8.91
Can't Stop Loving You,0.99,8.91
Canário Do Reino,0.99,8.91
Cathedral,0.99,8.91
Caçador de Mim (Sá & Guarabyra),0.99,8.91
Chaos-Control,0.99,8.91
Child In Time,0.99,8.91
Children of the Damned,0.99,8.91
Cinema Mudo,0.99,8.91
Civil War,0.99,8.91
Clash City Rockers,0.99,8.91
Como Estais Amigos,0.99,8.91
Computadores Fazem Arte,0.99,8.91
Confusion,0.99,8.91
Coração De Estudante,0.99,8.91
Corduroy,0.99,8.91
Creep,0.99,8.91
Criança De Domingo,0.99,8.91
Cry For Love,0.99,8.91
Cuckoo For Caca,0.99,8.91
Cursed Diamonds,0.99,8.91
Da Lama Ao Caos,0.99,8.91
Dancing In The Street,0.99,8.91
Dark Corners,0.99,8.91
Deep Waters,0.99,8.91
Desaforo,0.99,8.91
"Diga Lá, Coração",0.99,8.91
Don't Cry,0.99,8.91
Don't Go Back To Rockville,0.99,8.91
Duende,0.99,8.91
E.C.T.,0.99,8.91
Edie (Ciao Baby),0.99,8.91
Eleanor Rigby,0.99,8.91
Epic,0.99,8.91
Eu Apenas Queria Que Voçê Soubesse,0.99,8.91
Eu Sou Neguinha (Ao Vivo),0.99,8.91
Extra,0.99,8.91
Fade To Black,0.99,8.91
Fairies Wear Boots,0.99,8.91
Falling To Pieces,0.99,8.91
Fast And Loose,0.99,8.91
Fast As a Shark,0.99,8.91
Feel It,0.99,8.91
Feel Your Love Tonight,0.99,8.91
Flight Of The Rat,0.99,8.91
Forgiven,0.99,8.91
Four Sticks,0.99,8.91
Frantic,0.99,8.91
Free Me,0.99,8.91
Futureal,0.99,8.91
Gatas Extraordinárias,0.99,8.91
Gates Of Tomorrow,0.99,8.91
Get Out,0.99,8.91
Get Up (I Feel Like Being A) Sex Machine,0.99,8.91
Get What You Need,0.99,8.91
Go Down,0.99,8.91
God Gave Rock 'n' Roll To You,0.99,8.91
Got That Feeling,0.99,8.91
Grito De Alerta,0.99,8.91
Guess Who's Back,0.99,8.91
Hairshirt,0.99,8.91
Hang 'Em High,0.99,8.91
Hard To Handle,0.99,8.91
Harvester Of Sorrow,0.99,8.91
Hats Off To (Roy) Harper,0.99,8.91
Heart In Your Hand,0.99,8.91
Hell Ain't A Bad Place To Be,0.99,8.91
Help Yourself,0.99,8.91
Here I Am (Come And Take Me),0.99,8.91
Hey Tonight,0.99,8.91
High Head Blues,0.99,8.91
Hit The Lights,0.99,8.91
Homely Girl,0.99,8.91
Hooked Up,0.99,8.91
I Can't Remember,0.99,8.91
I Could Have Lied,0.99,8.91
I Don't Wanna Be Kissed (By Anyone But You),0.99,8.91
I Know Somethin (Bout You),0.99,8.91
I Still Haven't Found What I'm Looking For,0.99,8.91
In Your Honor,0.99,8.91
Indios,0.99,8.91
Infeliz Natal,0.99,8.91
Into The Light,0.99,8.91
Iron Man,0.99,8.91
It's Just A Thought,0.99,8.91
It's Too Funky In Here,0.99,8.91
Ito Okashi,0.99,8.91
Jacob's Ladder,0.99,8.91
Jaded,0.99,8.91
Jorge Da Capadócia,0.99,8.91
Jump,0.99,8.91
Kindergarten,0.99,8.91
Knocking At Your Back Door,0.99,8.91
Know Your Rights,0.99,8.91
Lament,0.99,8.91
Lemon,0.99,8.91
Ligia,0.99,8.91
Lindo Lago Do Amor,0.99,8.91
Little Guitars,0.99,8.91
Little Guitars (Intro),0.99,8.91
Livin' On The Edge,0.99,8.91
Living In America,0.99,8.91
Livre Pra Viver,0.99,8.91
Lord of Light,0.99,8.91
Love Child,0.99,8.91
Loving You Sunday Morning,0.99,8.91
Low,0.99,8.91
Low Man's Lyric,0.99,8.91
MFC,0.99,8.91
Manifest Destiny,0.99,8.91
Maracatu Atômico,0.99,8.91
Maracatu De Tiro Certeiro,0.99,8.91
"Maria, Maria",0.99,8.91
Marvin,0.99,8.91
Mateus Enter,0.99,8.91
Mellowship Slinky In B Major,0.99,8.91
Meninos E Meninas,0.99,8.91
Meu Mundo Fica Completo (Com Você),0.99,8.91
Meu Refrigerador Não Funciona,0.99,8.91
Midnight Cowboy,0.99,8.91
Minority,0.99,8.91
Miracle To Me,0.99,8.91
Miss Sarajevo,0.99,8.91
Molina,0.99,8.91
Morning Glory,0.99,8.91
Mr. Crowley,0.99,8.91
Murders In The Rue Morgue,0.99,8.91
My Ship,0.99,8.91
My World,0.99,8.91
Música De Trabalho,0.99,8.91
Naked In The Rain,0.99,8.91
New Love,0.99,8.91
Night Flight,0.99,8.91
No Fundo Do Quintal Da Escola,0.99,8.91
Nothingman,0.99,8.91
Numb,0.99,8.91
Não Dá Mais Pra Segurar (Explode Coração),0.99,8.91
Não Sei O Que Eu Quero Da Vida,0.99,8.91
O Beco,0.99,8.91
O Cidadão Do Mundo,0.99,8.91
O Dia Em Que A Terra Parou,0.99,8.91
O Leaozinho,0.99,8.91
O Livro Dos Dias,0.99,8.91
On Mercury,0.99,8.91
One I Want,0.99,8.91
Orion,0.99,8.91
Out Of Sight,0.99,8.91
Over The Hills And Far Away,0.99,8.91
Panama,0.99,8.91
Papa's Got A Brand New Bag Pt.1,0.99,8.91
Paradise City,0.99,8.91
Parallel Universe,0.99,8.91
Paranoid,0.99,8.91
Pini Di Roma (Pinien Von Rom) \ I Pini Della Via Appia,0.99,8.91
Playtime,0.99,8.91
Podres Poderes,0.99,8.91
Polícia (Vinheta),0.99,8.91
Ponta de Areia,0.99,8.91
Ponto De Interrogação,0.99,8.91
Poor Twisted Me,0.99,8.91
Porcelain,0.99,8.91
Pretty Tied Up,0.99,8.91
Prince Charming,0.99,8.91
Principiando/Decolagem,0.99,8.91
Problem Child,0.99,8.91
Puteiro Em João Pessoa,0.99,8.91
Quando Você Voltar,0.99,8.91
Queixa,0.99,8.91
Rag Doll,0.99,8.91
Rasul,0.99,8.91
Redundant,0.99,8.91
Remedy,0.99,8.91
Ride The Lightning,0.99,8.91
Right Now,0.99,8.91
Right Through You,0.99,8.91
River Song,0.99,8.91
Rock Das Aranhas (Ao Vivo) (Live),0.99,8.91
Rock The Casbah,0.99,8.91
Run Through The Jungle,0.99,8.91
Run To The Hilss,0.99,8.91
"Sabbath, Bloody Sabbath",0.99,8.91
Samba Makossa,0.99,8.91
San Francisco Bay Blues,0.99,8.91
Seconds,0.99,8.91
Será Que Vai Chover?,0.99,8.91
Set It Off,0.99,8.91
Sex Type Thing,0.99,8.91
Shining In The Light,0.99,8.91
Shotgun Blues,0.99,8.91
Slug,0.99,8.91
Socorro,0.99,8.91
Soul Education,0.99,8.91
Soul Parsifal,0.99,8.91
Sozinho (Hitmakers Classic Mix),0.99,8.91
Spellbound,0.99,8.91
Spirit Walker,0.99,8.91
Star A.D.,0.99,8.91
Sting Me,0.99,8.91
Strange Kind Of Woman,0.99,8.91
Stranger in a Strange Land,0.99,8.91
Stripsearch,0.99,8.91
Sua Impossivel Chance,0.99,8.91
Suck My Kiss,0.99,8.91
"Symphony No. 2, Op. 16 -  ""The Four Temperaments"": II. Allegro Comodo e Flemmatico",0.99,8.91
Sábado A Noite,0.99,8.91
Take The Power,0.99,8.91
Tea For One,0.99,8.91
Tease Me Please Me,0.99,8.91
Ten Years Gone,0.99,8.91
Texarkana,0.99,8.91
The Angel And The Gambler,0.99,8.91
The Call Of Ktulu,0.99,8.91
The Educated Fool,0.99,8.91
The First Time,0.99,8.91
The Frayed Ends Of Sanity,0.99,8.91
The Morning After,0.99,8.91
The Outlaw Torn,0.99,8.91
The Pilgrim,0.99,8.91
The Power Of Equality,0.99,8.91
The Unforgettable Fire,0.99,8.91
The Unwritten Law,0.99,8.91
The Wanderer,0.99,8.91
The Zephyr Song,0.99,8.91
Theme From The Swan,0.99,8.91
These Colours Don't Run,0.99,8.91
They're Red Hot,0.99,8.91
Thinking 'Bout Tomorrow,0.99,8.91
To Live Is To Die,0.99,8.91
Todo Amor Que Houver Nesta Vida,0.99,8.91
Todo Mundo Explica,0.99,8.91
Tombstone Shadow,0.99,8.91
Tommy Gun,0.99,8.91
Too Young To Die,0.99,8.91
Top O' The Morning To Ya,0.99,8.91
Top Top,0.99,8.91
Trampled Under Foot,0.99,8.91
Transylvania,0.99,8.91
True Believers,0.99,8.91
Twentienth Century Fox,0.99,8.91
Um Passeio No Mundo Livre,0.99,8.91
Um Satélite Na Cabeça,0.99,8.91
Underwater Love,0.99,8.91
United Colours,0.99,8.91
Vai Passar,0.99,8.91
Vamo Batê Lata,0.99,8.91
Vavoom : Ted The Mechanic,0.99,8.91
Vida De Cachorro,0.99,8.91
Virginia Moon,0.99,8.91
Voce Nao Entende Nada - Cotidiano,0.99,8.91
"Você Passa, Eu Acho Graça (Ao Vivo)",0.99,8.91
Wake Up,0.99,8.91
Walking Contradiction,0.99,8.91
Wasting Love,0.99,8.91
Were Do We Go From Here,0.99,8.91
What If I Do?,0.99,8.91
What It Takes,0.99,8.91
When The World Was Young,0.99,8.91
When You Gonna Learn (Digeridoo),0.99,8.91
Whole Lotta Love,0.99,8.91
Women In Uniform,0.99,8.91
Woodpecker From Mars,0.99,8.91
World Wide Suicide,0.99,8.91
Xanadu,0.99,8.91
Xote Dos Milagres,0.99,8.91
You Ain't the First,0.99,8.91
You Could Be Mine,0.99,8.91
You Learn,0.99,8.91
You Really Got Me,0.99,8.91
You Shook Me,0.99,8.91
[Just Like] Starting Over,0.99,8.91
Back from Vacation,1.99,7.96
Producer's Cut: The Return,1.99,7.96
The Convict,1.99,7.96
"The Gun On Ice Planet Zero, Pt. 1",1.99,7.96
"The Living Legend, Pt. 1",1.99,7.96
The Lost Warrior,1.99,7.96
The Magnificent Warriors,1.99,7.96
Black Dog,0.99,7.92
Thank You,0.99,7.92
When Love Comes To Town,0.99,7.92
Domingo,0.99,6.94
Era Uma Vez,0.99,6.94
Occupation / Precipice,1.99,6.94
Querem Meu Sangue,0.99,6.94
(Wish I Could) Hideaway,0.99,5.94
A Kind Of Magic,0.99,5.94
"A Midsummer Night's Dream, Op.61 Incidental Music: No.7 Notturno",0.99,5.94
A Paz,0.99,5.94
A Small Victory,0.99,5.94
Alberta,0.99,5.94
All Within My Hands,0.99,5.94
"Alô, Alô, Marciano",0.99,5.94
Amy Amy Amy (Outro),0.99,5.94
Angel,0.99,5.94
As Aparências Enganam,0.99,5.94
As Profecias,0.99,5.94
Ashes To Ashes,0.99,5.94
Astronomy,0.99,5.94
Atrás da Porta,0.99,5.94
Attitude,0.99,5.94
Baba O'Riley,0.99,5.94
Babyface,0.99,5.94
Back off Bitch,0.99,5.94
Bad,0.99,5.94
Bad Moon Rising,0.99,5.94
Balanço,0.99,5.94
Bark at the Moon,0.99,5.94
Believer,0.99,5.94
Bell Bottom Blues,0.99,5.94
Beth,0.99,5.94
Black Light Syndrome,0.99,5.94
Bleed Together,0.99,5.94
Blitzkrieg,0.99,5.94
Blue Train,0.99,5.94
Boogie With Stu,0.99,5.94
Book Of Thel,0.99,5.94
Born On The Bayou,0.99,5.94
Born To Move,0.99,5.94
Brain Stew,0.99,5.94
Brasília 5:31,0.99,5.94
Brave New World,0.99,5.94
Bullet The Blue Sky,0.99,5.94
Burden In My Hand,0.99,5.94
Busca Vida,0.99,5.94
Carolina,0.99,5.94
Changes,0.99,5.94
Chão de Giz (Elba Ramalho),0.99,5.94
Cigaro,0.99,5.94
Colibri,0.99,5.94
Coma,0.99,5.94
Construção / Deus Lhe Pague,0.99,5.94
Coração do Agreste (Fafá de Belém),0.99,5.94
Coroné Antonio Bento,0.99,5.94
Creeping Death,0.99,5.94
Cristina Nº 2,0.99,5.94
Crossroads,0.99,5.94
Crumbs From Your Table,0.99,5.94
Cure,0.99,5.94
Damage Case,0.99,5.94
De Ja Vu,0.99,5.94
De La Luz,0.99,5.94
Dead And Bloated,0.99,5.94
Dee,0.99,5.94
Departure,0.99,5.94
Discotheque,0.99,5.94
Disposable Heroes,0.99,5.94
Dog Eat Dog,0.99,5.94
Don't Cry (Original),0.99,5.94
Don't You Cry,0.99,5.94
Down By The Seaside,0.99,5.94
Down On The Corner,0.99,5.94
Ela Disse Adeus,0.99,5.94
Endgame,0.99,5.94
Estranged,0.99,5.94
Etnia,0.99,5.94
Eu Amo Você,0.99,5.94
Evil Dick,0.99,5.94
Eye,0.99,5.94
Flash,0.99,5.94
Flash of The Blade,0.99,5.94
Flores,0.99,5.94
Flower,0.99,5.94
For Those About To Rock (We Salute You),0.99,5.94
Friends,0.99,5.94
From Out Of Nowhere,0.99,5.94
Fuel,0.99,5.94
Get Up Offa That Thing,0.99,5.94
Girl From A Pawnshop,0.99,5.94
Goin' Blind,0.99,5.94
Going To California,0.99,5.94
Green Grow The Rushes,0.99,5.94
Hard Luck Woman,0.99,5.94
Hawkmoon 269,0.99,5.94
Holier Than Thou,0.99,5.94
Home Sick Home,0.99,5.94
Homem Primata (Vinheta),0.99,5.94
Hot Dog,0.99,5.94
Hots On For Nowhere,0.99,5.94
I Am,0.99,5.94
I Can See For Miles,0.99,5.94
I Can't Quit You Baby,0.99,5.94
I Fucking Hate You,0.99,5.94
I Heard Love Is Blind,0.99,5.94
I Remember California,0.99,5.94
I Still Love You,0.99,5.94
I Want To Break Free,0.99,5.94
I Was Made For Loving You,0.99,5.94
I Would Do For You,0.99,5.94
I'm A Boy,0.99,5.94
It's A Man's Man's Man's World,0.99,5.94
It's The End Of The World As We Know It (And I Feel Fine),0.99,5.94
Janie's Got A Gun,0.99,5.94
Jealous Guy,0.99,5.94
Jeito Faceiro,0.99,5.94
Jesus Christ Pose,0.99,5.94
Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home,0.99,5.94
Join Together,0.99,5.94
Jungle Drums,0.99,5.94
Just Friends,0.99,5.94
King In Crimson,0.99,5.94
Lanterna Dos Afogados,0.99,5.94
Let It Grow,0.99,5.94
Letterbomb,0.99,5.94
Life During Wartime,0.99,5.94
Lightning Strikes Twice,0.99,5.94
Like A Song...,0.99,5.94
Little Linda,0.99,5.94
Long As I Can See The Light,0.99,5.94
Losing My Religion,0.99,5.94
Love And Peace Or Else,0.99,5.94
Love In An Elevator,0.99,5.94
Machine Men,0.99,5.94
Macy's Day Parade,0.99,5.94
Malpractice,0.99,5.94
Maluco Beleza,0.99,5.94
Mama Said,0.99,5.94
Man On The Edge,0.99,5.94
Maracatu Atômico [Trip Hop],0.99,5.94
Me In Honey,0.99,5.94
Metal Militia,0.99,5.94
"Metopes, Op. 29: Calypso",0.99,5.94
Millenium,0.99,5.94
Minha Historia,0.99,5.94
Misty Mountain Hop,0.99,5.94
Mr. Brownstone,0.99,5.94
My Friend Of Misery,0.99,5.94
My Time After Awhile,0.99,5.94
Música Urbana 2,0.99,5.94
Navegar Impreciso,0.99,5.94
Never Say Die,0.99,5.94
New Test Leper,0.99,5.94
Night Of The Long Knives,0.99,5.94
Night Time Is The Right Time,0.99,5.94
Night Train,0.99,5.94
No Memory,0.99,5.94
Nobody Knows You When You're Down & Out,0.99,5.94
Nosso Adeus,0.99,5.94
Nothin' To Lose,0.99,5.94
Não Vou Ficar,0.99,5.94
O Descobridor Dos Sete Mares,0.99,5.94
O Que Me Importa,0.99,5.94
O Que Será (À Flor Da Terra),0.99,5.94
Old Love,0.99,5.94
Olodum - Smile (Instrumental),0.99,5.94
Only the Good Die Young,0.99,5.94
Os Cegos Do Castelo,0.99,5.94
Out On The Tiles,0.99,5.94
Ozone Baby,0.99,5.94
Papeau Nuky Doe,0.99,5.94
"Peer Gynt Suite No.1, Op.46: 1. Morning Mood",0.99,5.94
Poprocks And Coke,0.99,5.94
Por Que Será,0.99,5.94
Pot-Pourri N.º 4,0.99,5.94
Pot-Pourri N.º 5,0.99,5.94
Preciso Apender a Viver Só (Maysa),0.99,5.94
Prenda Minha,0.99,5.94
Princess of the Dawn,0.99,5.94
Refazenda,0.99,5.94
Rehab (Hot Chip Remix),0.99,5.94
Relvelation (Mother Earth),0.99,5.94
Rime of the Ancient Mariner,0.99,5.94
Romaria (Renato Teixeira),0.99,5.94
Samba Em Prelúdio,0.99,5.94
Sangue De Bairro,0.99,5.94
Silver And Gold,0.99,5.94
Smells Like Teen Spirit (Ao Vivo),0.99,5.94
Sobremesa,0.99,5.94
Some Kind Of Monster,0.99,5.94
Sometimes Salvation,0.99,5.94
Song For Lorraine,0.99,5.94
Sons Of Freedom,0.99,5.94
Soul Singing,0.99,5.94
Sozinho (Caêdrum 'n' Bass),0.99,5.94
Spread Your Wings,0.99,5.94
St. Jimmy,0.99,5.94
Stand Inside Your Love,0.99,5.94
Staring At The Sun,0.99,5.94
"Stay (Faraway, So Close!)",0.99,5.94
Stuck With Me,0.99,5.94
Swing Low Sweet Chariot,0.99,5.94
Symphony No. 2: III. Allegro vivace,0.99,5.94
"Symphony No. 3 Op. 36 for Orchestra and Soprano ""Symfonia Piesni Zalosnych"" \ Lento E Largo - Tranquillissimo",0.99,5.94
"Symphony No. 41 in C Major, K. 551, ""Jupiter"": IV. Molto allegro",0.99,5.94
Sympton of the Universe,0.99,5.94
Século XXI,0.99,5.94
Take the Box,0.99,5.94
Talk About The Passion,0.99,5.94
Tempo Rei,0.99,5.94
Tendo A Lua,0.99,5.94
"Texto ""Verdade Tropical""",0.99,5.94
The Crunge,0.99,5.94
The Day I Tried To Live,0.99,5.94
The Four Horsemen,0.99,5.94
The Gentle Art Of Making Enemies,0.99,5.94
The Invisible Man,0.99,5.94
The Lemon Song,0.99,5.94
The Ocean,0.99,5.94
The Playboy Mansion,0.99,5.94
The Show Must Go On,0.99,5.94
The Sun Road,0.99,5.94
The Unbeliever,0.99,5.94
The Wait,0.99,5.94
The Wrong Child,0.99,5.94
Think About You,0.99,5.94
Through The Never,0.99,5.94
Tightrope,0.99,5.94
To Tame A Land,0.99,5.94
Toda Menina Baiana,0.99,5.94
Todo Amor (Asas Da Liberdade),0.99,5.94
"Trash, Trampoline And The Party Girl",0.99,5.94
Turn The Page,0.99,5.94
Ugly In The Morning,0.99,5.94
"Um Amor, Um Lugar",0.99,5.94
Uns Dias,0.99,5.94
Until It Sleeps,0.99,5.94
Up Around The Bend,0.99,5.94
Vida Boa,0.99,5.94
Wake Up Alone,0.99,5.94
Wake Up Dead Man,0.99,5.94
Wall Of Denial,0.99,5.94
We Will Rock You,0.99,5.94
We're Gonna Groove,0.99,5.94
Wear You To The Ball,0.99,5.94
Wearing And Tearing,0.99,5.94
Welcome to the Jungle,0.99,5.94
When Evening Falls,0.99,5.94
When The Levee Breaks,0.99,5.94
Where Have All The Good Times Gone?,0.99,5.94
Where The River Goes,0.99,5.94
Where The Wild Things Are,0.99,5.94
Wherever You May Go,0.99,5.94
Whiplash,0.99,5.94
Who Needs You,0.99,5.94
Who Wants To Live Forever,0.99,5.94
With Or Without You,0.99,5.94
Yesterdays,0.99,5.94
You Are The Everything,0.99,5.94
Zither,0.99,5.94
"Étude 1, In C Major - Preludio (Presto) - Liszt",0.99,5.94
Óculos,0.99,5.94
Caleidoscópio,0.99,5.94
Immigrant Song,0.99,5.94
New Year's Day,0.99,5.94
She,0.99,5.94
"Battlestar Galactica, Pt. 2",1.99,3.98
Experiment In Terra,1.99,3.98
"Lost Planet of the Gods, Pt. 1",1.99,3.98
Take the Celestra,1.99,3.98
The Convention,1.99,3.98
The Coup,1.99,3.98
The Initiation,1.99,3.98
"Through the Looking Glass, Pt. 1",1.99,3.98
Your Time Is Gonna Come,0.99,3.97
#9 Dream,0.99,3.96
2 A.M.,0.99,3.96
32 Dentes,0.99,3.96
5.15,0.99,3.96
A Festa Do Santo Reis,0.99,3.96
"Act IV, Symphony",0.99,3.96
Ain't My Bitch,0.99,3.96
Am I Evil?,0.99,3.96
Aprendendo A Jogar,0.99,3.96
Army Ants,0.99,3.96
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,0.99,3.96
Bad Seed,0.99,3.96
Badge,0.99,3.96
Bass Trap,0.99,3.96
Be Good Johnny,0.99,3.96
Berimbau,0.99,3.96
Bittersweet Me,0.99,3.96
Black Hole Sun,0.99,3.96
Bleeding Me,0.99,3.96
Blood On The World's Hands,0.99,3.96
Body Count,0.99,3.96
Bora-Bora,0.99,3.96
Breadfan,0.99,3.96
Breaking The Rules,0.99,3.96
Breakthru,0.99,3.96
Bring Your Daughter... ...To The Slaughter,0.99,3.96
Can't Get There From Here,0.99,3.96
Carouselambra,0.99,3.96
Carta Ao Tom 74,0.99,3.96
Caught Somewhere in Time,0.99,3.96
Cold Gin,0.99,3.96
Com Açúcar E Com Afeto,0.99,3.96
"Concerto for Cello and Orchestra in E minor, Op. 85: I. Adagio - Moderato",0.99,3.96
Cotton Fields,0.99,3.96
Crash Course In Brain Surgery,0.99,3.96
Crazy Train,0.99,3.96
